Time (s),kp_tilt,ki_tilt,kd_tilt,kp_pos,ki_pos,kd_pos,current_position,tilt_angle,filteredAngle,pidOutput,currentAngle
""
""
8.44,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-40.79,-40.79,16921.42,-42.75
8.51,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-50.17,-50.17,14399.31,-53.17
8.59,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-52.01,-52.01,3622.09,-55.35
8.67,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-47.32,-47.32,-5536.61,-50.67
8.74,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-44.53,-44.53,-2893.19,-47.96
8.82,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-40.09,-40.09,-5445.39,-43.36
8.89,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-36.68,-36.68,-4253.25,-39.70
8.97,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-33.14,-33.14,-4082.46,-36.22
9.04,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-29.03,-29.03,-5274.93,-31.92
9.12,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-23.67,-23.67,-6874.04,-26.41
9.20,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-18.84,-18.84,-6422.79,-21.30
9.27,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-13.42,-13.42,-7222.85,-15.56
9.35,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-9.72,-9.72,-5264.84,-11.44
9.42,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-7.13,-7.13,-3527.34,-8.77
9.50,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-3.96,-3.96,-4298.01,-5.58
9.57,15.00,0.00,100.00,0.00,0.00,0.00,0.00,0.41,0.41,-6185.40,-1.05
9.64,15.00,0.00,100.00,0.00,0.00,0.00,0.00,-2.57,-2.57,4277.88,-4.03
9.71,15.00,0.00,100.00,0.00,0.00,0.00,0.00,5.99,5.99,-11985.58,4.58
9.78,15.00,0.00,100.00,0.00,0.00,0.00,0.00,4.61,4.61,1538.20,3.43
9.85,15.00,0.00,100.00,0.00,0.00,0.00,0.00,14.20,14.20,-14396.72,13.12
9.92,15.00,0.00,100.00,0.00,0.00,0.00,0.00,14.01,14.01,-486.80,13.34
10.00,15.00,0.00,100.00,0.00,0.00,0.00,0.00,7.65,7.65,8339.06,7.23
10.06,15.00,0.00,100.00,0.00,0.00,0.00,0.00,15.07,15.07,-10182.65,14.13
10.14,15.00,0.00,100.00,0.00,0.00,0.00,0.00,8.81,8.81,7827.31,8.07
10.21,15.00,0.00,100.00,0.00,0.00,0.00,0.00,17.33,17.33,-12206.45,16.47
10.28,15.00,0.00,100.00,0.00,0.00,0.00,0.00,12.45,12.45,6119.71,11.79
10.36,15.00,0.00,100.00,0.00,0.00,0.00,0.00,21.53,21.53,-12646.62,20.83
10.43,15.00,0.00,100.00,0.00,0.00,0.00,0.00,16.42,16.42,6547.73,15.73
10.51,15.00,0.00,100.00,0.00,0.00,0.00,0.00,24.59,24.59,-11897.00,24.19
